mitre_id,technique_name,tactic,platforms,is_subtechnique
T1491.001,Internal Defacement,Impact,ESXi; Linux; macOS; Windows,True
T1564.002,Hidden Users,Stealth,Linux; macOS; Windows,True
T1134.003,Make and Impersonate Token,Privilege Escalation; Stealth,Windows,True
T1552.006,Group Policy Preferences,Credential Access,Windows,True
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Exfiltration,ESXi; Linux; macOS; Windows,True
T1087.004,Cloud Account,Discovery,IaaS; Identity Provider; Office Suite; SaaS,True
T1683.002,Audio-Visual Content,Resource Development,PRE,True
T1057,Process Discovery,Discovery,ESXi; Linux; macOS; Network Devices; Windows,False
T1556.008,Network Provider DLL,Credential Access; Defense Impairment; Persistence,Windows,True
T1546.003,Windows Management Instrumentation Event Subscription,Persistence; Privilege Escalation,Windows,True
T1596.004,CDNs,Reconnaissance,PRE,True
T1497.002,User Activity Based Checks,Discovery; Stealth,Linux; macOS; Windows,True
T1496.004,Cloud Service Hijacking,Impact,SaaS,True
T1585.003,Cloud Accounts,Resource Development,PRE,True
T1072,Software Deployment Tools,Execution; Lateral Movement,Linux; macOS; Network Devices; SaaS; Windows,False
T1041,Exfiltration Over C2 Channel,Exfiltration,ESXi; Linux; macOS; Windows,False
T1134.004,Parent PID Spoofing,Privilege Escalation; Stealth,Windows,True
T1591,Gather Victim Org Information,Reconnaissance,PRE,False
T1606,Forge Web Credentials,Credential Access,SaaS; Windows; macOS; Linux; IaaS; Office Suite; Identity Provider,False
T1621,Multi-Factor Authentication Request Generation,Credential Access,Windows; Linux; macOS; IaaS; SaaS; Office Suite; Identity Provider,False
T1554,Compromise Host Software Binary,Persistence,ESXi; Linux; macOS; Windows,False
T1552.008,Chat Messages,Credential Access,SaaS; Office Suite,True
T1059.001,PowerShell,Execution,Windows,True
T1546.001,Change Default File Association,Persistence; Privilege Escalation,Windows,True
T1055.014,VDSO Hijacking,Privilege Escalation; Stealth,Linux,True
T1071.002,File Transfer Protocols,Command And Control,ESXi; Linux; macOS; Network Devices; Windows,True
T1679,Selective Exclusion,Stealth,Windows,False
T1212,Exploitation for Credential Access,Credential Access,Linux; Windows; macOS; Identity Provider,False
T1546.014,Emond,Persistence; Privilege Escalation,macOS,True
T1102.003,One-Way Communication,Command And Control,Linux; macOS; Windows; ESXi,True
T1590,Gather Victim Network Information,Reconnaissance,PRE,False
T1210,Exploitation of Remote Services,Lateral Movement,Linux; Windows; macOS; ESXi,False
T1534,Internal Spearphishing,Lateral Movement,Linux; macOS; Office Suite; SaaS; Windows,False
T1574.010,Services File Permissions Weakness,Execution; Stealth,Windows,True
T1547.001,Registry Run Keys / Startup Folder,Persistence; Privilege Escalation,Windows,True
T1199,Trusted Relationship,Initial Access,IaaS; Identity Provider; Linux; macOS; Office Suite; SaaS; Windows,False
T1136.003,Cloud Account,Persistence,IaaS; SaaS; Office Suite; Identity Provider,True
T1069.001,Local Groups,Discovery,Linux; macOS; Windows,True
T1593,Search Open Websites/Domains,Reconnaissance,PRE,False
T1098,Account Manipulation,Persistence; Privilege Escalation,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,False
T1048,Exfiltration Over Alternative Protocol,Exfiltration,ESXi; IaaS; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,False
T1547.006,Kernel Modules and Extensions,Persistence; Privilege Escalation,macOS; Linux,True
T1678,Delay Execution,Stealth,Linux; macOS; Windows,False
T1056.002,GUI Input Capture,Collection; Credential Access,Linux; macOS; Windows,True
T1686.002,Network Device Firewall,Defense Impairment,Network Devices,True
T1588.002,Tool,Resource Development,PRE,True
T1052.001,Exfiltration over USB,Exfiltration,Linux; Windows; macOS,True
T1574.013,KernelCallbackTable,Execution; Stealth,Windows,True
T1597,Search Closed Sources,Reconnaissance,PRE,False
T1053.006,Systemd Timers,Execution; Persistence; Privilege Escalation,Linux,True
T1566,Phishing,Initial Access,Identity Provider; Linux; macOS; Office Suite; SaaS; Windows,False
T1542.004,ROMMONkit,Persistence; Stealth,Network Devices,True
T1218.001,Compiled HTML File,Stealth,Windows,True
T1496.001,Compute Hijacking,Impact,Windows; IaaS; Linux; macOS; Containers,True
T1070.005,Network Share Connection Removal,Stealth,Windows,True
T1090.003,Multi-hop Proxy,Command And Control,ESXi; Linux; macOS; Network Devices; Windows,True
T1110,Brute Force,Credential Access,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,False
T1059.004,Unix Shell,Execution,ESXi; Linux; macOS; Network Devices,True
T1137.003,Outlook Forms,Persistence,Windows; Office Suite,True
T1219.003,Remote Access Hardware,Command And Control,Linux; macOS; Windows,True
T1565,Data Manipulation,Impact,Linux; macOS; Windows,False
T1559,Inter-Process Communication,Execution,Linux; macOS; Windows,False
T1001,Data Obfuscation,Command And Control,ESXi; Linux; macOS; Windows,False
T1039,Data from Network Shared Drive,Collection,Linux; macOS; Windows,False
T1584.006,Web Services,Resource Development,PRE,True
T1601,Modify System Image,Defense Impairment,Network Devices,False
T1574,Hijack Execution Flow,Execution; Stealth,Linux; macOS; Windows,False
T1036.012,Browser Fingerprint,Stealth,Linux; macOS; Windows,True
T1059.011,Lua,Execution,Linux; Network Devices; Windows; macOS,True
T1027.005,Indicator Removal from Tools,Stealth,Linux; macOS; Windows,True
T1204.003,Malicious Image,Execution,IaaS; Containers,True
T1543.005,Container Service,Persistence; Privilege Escalation,Containers,True
T1078,Valid Accounts,Initial Access; Persistence; Privilege Escalation; Stealth,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,False
T1571,Non-Standard Port,Command And Control,ESXi; Linux; macOS; Windows,False
T1585.001,Social Media Accounts,Resource Development,PRE,True
T1055.012,Process Hollowing,Privilege Escalation; Stealth,Windows,True
T1068,Exploitation for Privilege Escalation,Privilege Escalation,Containers; Linux; macOS; Windows,False
T1564.009,Resource Forking,Stealth,macOS,True
T1531,Account Access Removal,Impact,Linux; macOS; Windows; SaaS; IaaS; Office Suite; ESXi,False
T1110.004,Credential Stuffing,Credential Access,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,True
T1027,Obfuscated Files or Information,Stealth,ESXi; Linux; macOS; Network Devices; Windows,False
T1556.006,Multi-Factor Authentication,Credential Access; Defense Impairment; Persistence,IaaS; Identity Provider; Linux; macOS; Office Suite; SaaS; Windows,True
T1114.002,Remote Email Collection,Collection,Office Suite; Windows,True
T1505.004,IIS Components,Persistence,Windows,True
T1036.001,Invalid Code Signature,Stealth,macOS; Windows,True
T1683,Generate Content,Resource Development,PRE,False
T1564.006,Run Virtual Instance,Stealth,ESXi; Linux; macOS; Windows,True
T1027.014,Polymorphic Code,Stealth,Linux; macOS; Windows,True
T1201,Password Policy Discovery,Discovery,Windows; Linux; macOS; IaaS; Network Devices; Identity Provider; SaaS; Office Suite,False
T1546,Event Triggered Execution,Persistence; Privilege Escalation,Linux; macOS; Windows; SaaS; IaaS; Office Suite,False
T1546.004,Unix Shell Configuration Modification,Persistence; Privilege Escalation,Linux; macOS,True
T1187,Forced Authentication,Credential Access,Windows,False
T1134.005,SID-History Injection,Privilege Escalation; Stealth,Windows,True
T1599,Network Boundary Bridging,Defense Impairment,Network Devices,False
T1486,Data Encrypted for Impact,Impact,ESXi; IaaS; Linux; macOS; Windows,False
T1690,Prevent Command History Logging,Defense Impairment,ESXi; Linux; macOS; Network Devices; Windows,False
T1553,Subvert Trust Controls,Defense Impairment,Linux; macOS; Windows,False
T1548.004,Elevated Execution with Prompt,Privilege Escalation,macOS,True
T1592.003,Firmware,Reconnaissance,PRE,True
T1573,Encrypted Channel,Command And Control,ESXi; Linux; macOS; Network Devices; Windows,False
T1547.002,Authentication Package,Persistence; Privilege Escalation,Windows,True
T1218.010,Regsvr32,Stealth,Windows,True
T1567.003,Exfiltration to Text Storage Sites,Exfiltration,Linux; macOS; Windows; ESXi,True
T1592.002,Software,Reconnaissance,PRE,True
T1056,Input Capture,Collection; Credential Access,Linux; macOS; Network Devices; Windows,False
T1566.004,Spearphishing Voice,Initial Access,Linux; macOS; Windows; Identity Provider,True
T1587.004,Exploits,Resource Development,PRE,True
T1685,Disable or Modify Tools,Defense Impairment,Containers; ESXi; IaaS; Linux; macOS; Network Devices; Windows,False
T1593.001,Social Media,Reconnaissance,PRE,True
T1213.004,Customer Relationship Management Software,Collection,SaaS,True
T1546.015,Component Object Model Hijacking,Persistence; Privilege Escalation,Windows,True
T1589.001,Credentials,Reconnaissance,PRE,True
T1195.002,Compromise Software Supply Chain,Initial Access,Linux; Windows; macOS,True
T1036.003,Rename Legitimate Utilities,Stealth,Linux; macOS; Windows,True
T1102.002,Bidirectional Communication,Command And Control,ESXi; Linux; macOS; Windows,True
T1203,Exploitation for Client Execution,Execution,Linux; macOS; Windows,False
T1595.003,Wordlist Scanning,Reconnaissance,PRE,True
T1667,Email Bombing,Impact,Linux; Office Suite; Windows; macOS,False
T1137.004,Outlook Home Page,Persistence,Windows; Office Suite,True
T1573.002,Asymmetric Cryptography,Command And Control,ESXi; Linux; macOS; Network Devices; Windows,True
T1567.002,Exfiltration to Cloud Storage,Exfiltration,ESXi; Linux; macOS; Windows,True
T1570,Lateral Tool Transfer,Lateral Movement,ESXi; Linux; macOS; Windows,False
T1574.009,Path Interception by Unquoted Path,Execution; Stealth,Windows,True
T1608.003,Install Digital Certificate,Resource Development,PRE,True
T1037.005,Startup Items,Persistence; Privilege Escalation,macOS,True
T1614.001,System Language Discovery,Discovery,Linux; macOS; Windows,True
T1095,Non-Application Layer Protocol,Command And Control,ESXi; Linux; macOS; Network Devices; Windows,False
T1059.013,Container CLI/API,Execution,Containers,True
T1027.003,Steganography,Stealth,Linux; macOS; Windows,True
T1584.002,DNS Server,Resource Development,PRE,True
T1671,Cloud Application Integration,Persistence,Office Suite; SaaS,False
T1001.003,Protocol or Service Impersonation,Command And Control,ESXi; Linux; macOS; Windows,True
T1012,Query Registry,Discovery,Windows,False
T1030,Data Transfer Size Limits,Exfiltration,Linux; macOS; Windows; ESXi,False
T1550.004,Web Session Cookie,Lateral Movement,IaaS; Office Suite; SaaS,True
T1078.002,Domain Accounts,Initial Access; Persistence; Privilege Escalation; Stealth,ESXi; Linux; macOS; Windows,True
T1218.009,Regsvcs/Regasm,Stealth,Windows,True
T1546.018,Python Startup Hooks,Persistence; Privilege Escalation,Linux; macOS; Windows,True
T1553.004,Install Root Certificate,Defense Impairment,Linux; macOS; Windows,True
T1037.003,Network Logon Script,Persistence; Privilege Escalation,Windows,True
T1499,Endpoint Denial of Service,Impact,Windows; Linux; macOS; Containers; IaaS,False
T1027.004,Compile After Delivery,Stealth,Linux; macOS; Windows,True
T1688,Safe Mode Boot,Defense Impairment,Windows,False
T1614,System Location Discovery,Discovery,IaaS; Linux; macOS; Windows,False
T1564.007,VBA Stomping,Stealth,Linux; macOS; Windows,True
T1197,BITS Jobs,Execution; Persistence; Stealth,Windows,False
T1127.001,MSBuild,Execution; Stealth,Windows,True
T1578.005,Modify Cloud Compute Configurations,Defense Impairment,IaaS,True
T1090.004,Domain Fronting,Command And Control,Linux; macOS; Windows; ESXi,True
T1557.002,ARP Cache Poisoning,Collection; Credential Access,Linux; Windows; macOS,True
T1518.001,Security Software Discovery,Discovery,IaaS; Linux; macOS; Windows,True
T1564.003,Hidden Window,Stealth,Linux; macOS; Windows,True
T1127.002,ClickOnce,Execution; Stealth,Windows,True
T1059.006,Python,Execution,ESXi; Linux; macOS; Windows,True
T1070.010,Relocate Malware,Stealth,Linux; macOS; Network Devices; Windows,True
T1591.004,Identify Roles,Reconnaissance,PRE,True
T1132,Data Encoding,Command And Control,ESXi; Linux; macOS; Windows,False
T1546.010,AppInit DLLs,Persistence; Privilege Escalation,Windows,True
T1598,Phishing for Information,Reconnaissance,PRE,False
T1496,Resource Hijacking,Impact,Windows; IaaS; Linux; macOS; Containers; SaaS,False
T1684.001,Impersonation,Stealth,Linux; macOS; Office Suite; SaaS; Windows,True
T1585,Establish Accounts,Resource Development,PRE,False
T1588,Obtain Capabilities,Resource Development,PRE,False
T1546.002,Screensaver,Persistence; Privilege Escalation,Windows,True
T1556.009,Conditional Access Policies,Credential Access; Defense Impairment; Persistence,IaaS; Identity Provider,True
T1578.002,Create Cloud Instance,Defense Impairment,IaaS,True
T1555.006,Cloud Secrets Management Stores,Credential Access,IaaS,True
T1213.003,Code Repositories,Collection,SaaS,True
T1565.002,Transmitted Data Manipulation,Impact,Linux; macOS; Windows,True
T1003.008,/etc/passwd and /etc/shadow,Credential Access,Linux,True
T1543.001,Launch Agent,Persistence; Privilege Escalation,macOS,True
T1569,System Services,Execution,Windows; macOS; Linux,False
T1059.003,Windows Command Shell,Execution,Windows,True
T1055.009,Proc Memory,Privilege Escalation; Stealth,Linux,True
T1650,Acquire Access,Resource Development,PRE,False
T1601.001,Patch System Image,Defense Impairment,Network Devices,True
T1558.002,Silver Ticket,Credential Access,Windows,True
T1213,Data from Information Repositories,Collection,Linux; Windows; macOS; SaaS; IaaS; Office Suite,False
T1070.009,Clear Persistence,Stealth,ESXi; Linux; macOS; Windows,True
T1059.012,Hypervisor CLI,Execution,ESXi,True
T1555.004,Windows Credential Manager,Credential Access,Windows,True
T1036.010,Masquerade Account Name,Stealth,Containers; IaaS; Identity Provider; Linux; macOS; Office Suite; SaaS; Windows,True
T1200,Hardware Additions,Initial Access,Windows; Linux; macOS,False
T1219.002,Remote Desktop Software,Command And Control,Linux; macOS; Windows,True
T1505,Server Software Component,Persistence,Windows; Linux; macOS; Network Devices; ESXi,False
T1485,Data Destruction,Impact,Containers; ESXi; IaaS; Linux; macOS; Windows,False
T1132.002,Non-Standard Encoding,Command And Control,ESXi; Linux; macOS; Windows,True
T1556.001,Domain Controller Authentication,Credential Access; Defense Impairment; Persistence,Windows,True
T1537,Transfer Data to Cloud Account,Exfiltration,IaaS; Office Suite; SaaS,False
T1027.006,HTML Smuggling,Stealth,Linux; macOS; Windows,True
T1556.005,Reversible Encryption,Credential Access; Defense Impairment; Persistence,Windows,True
T1027.010,Command Obfuscation,Stealth,Linux; macOS; Windows,True
T1070.004,File Deletion,Stealth,ESXi; Linux; macOS; Windows,True
T1189,Drive-by Compromise,Initial Access,Identity Provider; Linux; macOS; Windows,False
T1498,Network Denial of Service,Impact,Windows; IaaS; Linux; macOS; Containers,False
T1651,Cloud Administration Command,Execution,IaaS,False
T1546.016,Installer Packages,Persistence; Privilege Escalation,Linux; macOS; Windows,True
T1595.001,Scanning IP Blocks,Reconnaissance,PRE,True
T1221,Template Injection,Stealth,Windows,False
T1037.004,RC Scripts,Persistence; Privilege Escalation,macOS; Linux; Network Devices; ESXi,True
T1134,Access Token Manipulation,Privilege Escalation; Stealth,Windows,False
T1111,Multi-Factor Authentication Interception,Credential Access,Linux; macOS; Windows,False
T1027.002,Software Packing,Stealth,Linux; macOS; Windows,True
T1584.007,Serverless,Resource Development,PRE,True
T1071.001,Web Protocols,Command And Control,ESXi; Linux; macOS; Network Devices; Windows,True
T1059.005,Visual Basic,Execution,Linux; macOS; Windows,True
T1564.005,Hidden File System,Stealth,Linux; macOS; Windows,True
T1543.002,Systemd Service,Persistence; Privilege Escalation,Linux,True
T1668,Exclusive Control,Persistence,Linux; macOS; Windows,False
T1563.002,RDP Hijacking,Lateral Movement,Windows,True
T1136,Create Account,Persistence,Windows; IaaS; Linux; macOS; Network Devices; Containers; SaaS; Office Suite; Identity Provider; ESXi,False
T1547.013,XDG Autostart Entries,Persistence; Privilege Escalation,Linux,True
T1584.004,Server,Resource Development,PRE,True
T1526,Cloud Service Discovery,Discovery,IaaS; Identity Provider; Office Suite; SaaS,False
T1204.004,Malicious Copy and Paste,Execution,Linux; macOS; Windows,True
T1018,Remote System Discovery,Discovery,ESXi; Linux; macOS; Network Devices; Windows,False
T1046,Network Service Discovery,Discovery,Containers; IaaS; Linux; macOS; Network Devices; Windows,False
T1590.001,Domain Properties,Reconnaissance,PRE,True
T1518,Software Discovery,Discovery,ESXi; IaaS; Linux; macOS; Windows,False
T1538,Cloud Service Dashboard,Discovery,IaaS; SaaS; Office Suite; Identity Provider,False
T1055.005,Thread Local Storage,Privilege Escalation; Stealth,Windows,True
T1622,Debugger Evasion,Discovery; Stealth,Linux; macOS; Windows,False
T1036.006,Space after Filename,Stealth,Linux; macOS,True
T1547.007,Re-opened Applications,Persistence; Privilege Escalation,macOS,True
T1608.006,SEO Poisoning,Resource Development,PRE,True
T1550.002,Pass the Hash,Lateral Movement,Windows,True
T1052,Exfiltration Over Physical Medium,Exfiltration,Linux; macOS; Windows,False
T1105,Ingress Tool Transfer,Command And Control,ESXi; Linux; macOS; Network Devices; Windows,False
T1216.002,SyncAppvPublishingServer,Stealth,Windows,True
T1098.002,Additional Email Delegate Permissions,Persistence; Privilege Escalation,Windows; Office Suite,True
T1588.003,Code Signing Certificates,Resource Development,PRE,True
T1648,Serverless Execution,Execution,SaaS; IaaS; Office Suite,False
T1548.006,TCC Manipulation,Privilege Escalation,macOS,True
T1027.018,Invisible Unicode,Stealth,Linux; macOS; Windows,True
T1055.008,Ptrace System Calls,Privilege Escalation; Stealth,Linux,True
T1653,Power Settings,Persistence,Windows; Linux; macOS; Network Devices,False
T1027.007,Dynamic API Resolution,Stealth,Windows,True
T1021.001,Remote Desktop Protocol,Lateral Movement,Windows,True
T1037.001,Logon Script (Windows),Persistence; Privilege Escalation,Windows,True
T1055.015,ListPlanting,Privilege Escalation; Stealth,Windows,True
T1665,Hide Infrastructure,Command And Control,ESXi; Linux; macOS; Network Devices; Windows,False
T1484,Domain or Tenant Policy Modification,Defense Impairment; Privilege Escalation,Windows; Identity Provider,False
T1220,XSL Script Processing,Stealth,Windows,False
T1596.005,Scan Databases,Reconnaissance,PRE,True
T1564.001,Hidden Files and Directories,Stealth,Linux; macOS; Windows,True
T1578.001,Create Snapshot,Defense Impairment,IaaS,True
T1591.001,Determine Physical Locations,Reconnaissance,PRE,True
T1137.002,Office Test,Persistence,Windows; Office Suite,True
T1587,Develop Capabilities,Resource Development,PRE,False
T1003.003,NTDS,Credential Access,Windows,True
T1686.001,Cloud Firewall,Defense Impairment,IaaS,True
T1602.001,SNMP (MIB Dump),Collection,Network Devices,True
T1686,Disable or Modify System Firewall,Defense Impairment,ESXi; Linux; macOS; Network Devices; Windows,False
T1001.002,Steganography,Command And Control,Linux; macOS; Windows; ESXi,True
T1204.001,Malicious Link,Execution,Linux; macOS; Windows,True
T1550.001,Application Access Token,Lateral Movement,Containers; IaaS; Identity Provider; Office Suite; SaaS,True
T1547.008,LSASS Driver,Persistence; Privilege Escalation,Windows,True
T1569.002,Service Execution,Execution,Windows,True
T1078.004,Cloud Accounts,Initial Access; Persistence; Privilege Escalation; Stealth,IaaS; Identity Provider; Office Suite; SaaS,True
T1480.001,Environmental Keying,Stealth,Linux; Windows; macOS,True
T1008,Fallback Channels,Command And Control,ESXi; Linux; macOS; Windows,False
T1680,Local Storage Discovery,Discovery,ESXi; IaaS; Linux; macOS; Windows,False
T1564.004,NTFS File Attributes,Stealth,Windows,True
T1558.003,Kerberoasting,Credential Access,Windows,True
T1003.006,DCSync,Credential Access,Windows,True
T1124,System Time Discovery,Discovery,ESXi; Linux; macOS; Network Devices; Windows,False
T1053.002,At,Execution; Persistence; Privilege Escalation,Windows; Linux; macOS,True
T1055.001,Dynamic-link Library Injection,Privilege Escalation; Stealth,Windows,True
T1588.005,Exploits,Resource Development,PRE,True
T1556,Modify Authentication Process,Credential Access; Defense Impairment; Persistence,IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,False
T1546.017,Udev Rules,Persistence; Privilege Escalation,Linux,True
T1056.004,Credential API Hooking,Collection; Credential Access,Windows; Linux; macOS,True
T1495,Firmware Corruption,Impact,Linux; macOS; Network Devices; Windows,False
T1490,Inhibit System Recovery,Impact,Containers; ESXi; IaaS; Linux; macOS; Network Devices; Windows,False
T1546.007,Netsh Helper DLL,Persistence; Privilege Escalation,Windows,True
T1566.003,Spearphishing via Service,Initial Access,Linux; macOS; Windows,True
T1090.001,Internal Proxy,Command And Control,ESXi; Linux; macOS; Network Devices; Windows,True
T1216,System Script Proxy Execution,Stealth,Windows,False
T1102.001,Dead Drop Resolver,Command And Control,ESXi; Linux; macOS; Windows,True
T1001.001,Junk Data,Command And Control,ESXi; Linux; macOS; Windows,True
T1598.001,Spearphishing Service,Reconnaissance,PRE,True
T1505.006,vSphere Installation Bundles,Persistence,ESXi,True
T1552.007,Container API,Credential Access,Containers,True
T1584.001,Domains,Resource Development,PRE,True
T1505.001,SQL Stored Procedures,Persistence,Windows; Linux,True
T1556.004,Network Device Authentication,Credential Access; Defense Impairment; Persistence,Network Devices,True
T1561.001,Disk Content Wipe,Impact,Linux; macOS; Network Devices; Windows,True
T1213.005,Messaging Applications,Collection,Office Suite; SaaS,True
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,Exfiltration,ESXi; Linux; macOS; Network Devices; Windows,True
T1027.015,Compression,Stealth,Linux; macOS; Windows,True
T1574.004,Dylib Hijacking,Execution; Stealth,macOS,True
T1601.002,Downgrade System Image,Defense Impairment,Network Devices,True
T1684.002,Email Spoofing,Stealth,Linux; macOS; Office Suite; Windows,True
T1078.003,Local Accounts,Initial Access; Persistence; Privilege Escalation; Stealth,Containers; ESXi; Linux; macOS; Network Devices; Windows,True
T1669,Wi-Fi Networks,Initial Access,Linux; Network Devices; Windows; macOS,False
T1211,Exploitation for Stealth,Stealth,Linux; Windows; macOS; SaaS; IaaS,False
T1127,Trusted Developer Utilities Proxy Execution,Execution; Stealth,Windows,False
T1529,System Shutdown/Reboot,Impact,ESXi; Linux; macOS; Network Devices; Windows,False
T1218.014,MMC,Stealth,Windows,True
T1564.010,Process Argument Spoofing,Stealth,Windows,True
T1574.012,COR_PROFILER,Execution; Stealth,Windows,True
