incident_id,event_id,incident_type,assigned_to,status,response_time,resolution
INC0313,EVT007437,Malware Detection,SOC Tier 3,Closed,73 min,"Endpoint isolated, malware removed"
INC0314,EVT005871,Failed Login,SOC Tier 1,Closed,35 min,"Account temporarily locked, user verified"
INC0315,EVT003992,Login Success,SOC Tier 1,Open,23 min,Pending review
INC0316,EVT007499,File Access,Incident Response Team,Closed,40 min,"Reviewed, no action required"
INC0317,EVT005453,SQL Injection Attempt,SOC Tier 3,Closed,16 min,"Request blocked, WAF rule updated"
INC0318,EVT003791,Privilege Escalation,Incident Response Team,Closed,31 min,"Access revoked, account access reviewed"
INC0319,EVT009500,Phishing Email,SOC Tier 1,Closed,41 min,"Email quarantined, user notified"
INC0320,EVT007331,Malware Detection,SOC Tier 1,Open,44 min,Pending review
INC0321,EVT009702,Privilege Escalation,SOC Tier 3,Open,90 min,Pending review
INC0322,EVT005442,Port Scan,Incident Response Team,Closed,18 min,Source IP flagged and monitored
INC0323,EVT006803,Phishing Email,SOC Tier 3,Closed,9 min,"Email quarantined, user notified"
INC0324,EVT003622,Privilege Escalation,Incident Response Team,Open,40 min,Pending review
INC0325,EVT009580,Login Success,Incident Response Team,Closed,10 min,"Reviewed, no action required"
INC0326,EVT002824,USB Device Connected,SOC Tier 2,In Progress,51 min,Pending review
INC0327,EVT003230,File Access,SOC Tier 2,In Progress,19 min,Pending review
INC0328,EVT005487,Login Success,SOC Tier 3,Closed,65 min,"Reviewed, no action required"
INC0329,EVT006851,USB Device Connected,SOC Tier 2,Closed,44 min,"Device inspected, no threat found"
INC0330,EVT005276,Phishing Email,Incident Response Team,In Progress,43 min,Pending review
INC0331,EVT007438,Privilege Escalation,SOC Tier 1,Open,10 min,Pending review
INC0332,EVT002471,Privilege Escalation,Incident Response Team,Closed,47 min,"Access revoked, account access reviewed"
INC0333,EVT008423,File Access,SOC Tier 3,Closed,39 min,"Reviewed, no action required"
INC0334,EVT001555,SQL Injection Attempt,Incident Response Team,Closed,77 min,"Request blocked, WAF rule updated"
INC0335,EVT006948,Privilege Escalation,SOC Tier 1,Closed,75 min,"Access revoked, account access reviewed"
INC0336,EVT001333,Login Success,SOC Tier 3,Closed,50 min,"Reviewed, no action required"
INC0337,EVT003437,Malware Detection,Incident Response Team,In Progress,37 min,Pending review
INC0338,EVT000543,Brute Force,SOC Tier 2,Open,70 min,Pending review
INC0339,EVT007815,Phishing Email,SOC Tier 3,Closed,13 min,"Email quarantined, user notified"
INC0340,EVT006719,SQL Injection Attempt,SOC Tier 3,Open,70 min,Pending review
INC0341,EVT007858,Port Scan,Incident Response Team,Closed,72 min,Source IP flagged and monitored
INC0342,EVT005868,File Access,Incident Response Team,Closed,72 min,"Reviewed, no action required"
INC0343,EVT008615,USB Device Connected,SOC Tier 1,Closed,73 min,"Device inspected, no threat found"
INC0344,EVT003950,Port Scan,SOC Tier 1,Closed,66 min,Source IP flagged and monitored
INC0345,EVT004874,Failed Login,SOC Tier 1,Closed,38 min,"Account temporarily locked, user verified"
INC0346,EVT001067,Brute Force,SOC Tier 3,Closed,45 min,Source IP blocked at firewall
INC0347,EVT002852,Privilege Escalation,SOC Tier 1,In Progress,80 min,Pending review
INC0348,EVT001754,Privilege Escalation,SOC Tier 2,Closed,47 min,"Access revoked, account access reviewed"
INC0349,EVT001277,Malware Detection,SOC Tier 2,Closed,65 min,"Endpoint isolated, malware removed"
INC0350,EVT002224,USB Device Connected,SOC Tier 3,In Progress,47 min,Pending review
INC0351,EVT007170,Brute Force,Incident Response Team,Closed,27 min,Source IP blocked at firewall
INC0352,EVT000890,Login Success,SOC Tier 3,In Progress,24 min,Pending review
INC0353,EVT005751,Brute Force,SOC Tier 1,Closed,14 min,Source IP blocked at firewall
INC0354,EVT009612,Phishing Email,SOC Tier 3,Open,19 min,Pending review
INC0355,EVT006384,Malware Detection,Incident Response Team,In Progress,77 min,Pending review
INC0356,EVT008436,Malware Detection,SOC Tier 1,Open,61 min,Pending review
INC0357,EVT001321,Port Scan,SOC Tier 2,Open,47 min,Pending review
INC0358,EVT000330,Failed Login,SOC Tier 1,In Progress,88 min,Pending review
INC0359,EVT000538,File Access,SOC Tier 1,Closed,71 min,"Reviewed, no action required"
INC0360,EVT006341,Login Success,SOC Tier 1,Closed,42 min,"Reviewed, no action required"
INC0361,EVT004615,File Access,Incident Response Team,Closed,21 min,"Reviewed, no action required"
INC0362,EVT004682,Privilege Escalation,SOC Tier 3,Closed,87 min,"Access revoked, account access reviewed"
INC0363,EVT003399,USB Device Connected,SOC Tier 2,Closed,78 min,"Device inspected, no threat found"
INC0364,EVT009653,USB Device Connected,SOC Tier 3,Closed,54 min,"Device inspected, no threat found"
INC0365,EVT002004,Privilege Escalation,SOC Tier 2,In Progress,83 min,Pending review
INC0366,EVT005128,Privilege Escalation,SOC Tier 1,Open,67 min,Pending review
INC0367,EVT007011,Brute Force,SOC Tier 1,Closed,54 min,Source IP blocked at firewall
INC0368,EVT003003,Privilege Escalation,SOC Tier 3,In Progress,8 min,Pending review
INC0369,EVT008753,Privilege Escalation,SOC Tier 1,Closed,40 min,"Access revoked, account access reviewed"
INC0370,EVT004975,Privilege Escalation,SOC Tier 3,Closed,33 min,"Access revoked, account access reviewed"
INC0371,EVT006598,Failed Login,SOC Tier 1,Closed,83 min,"Account temporarily locked, user verified"
INC0372,EVT004648,SQL Injection Attempt,SOC Tier 2,Closed,89 min,"Request blocked, WAF rule updated"
INC0373,EVT003815,USB Device Connected,SOC Tier 3,In Progress,35 min,Pending review
INC0374,EVT003271,Brute Force,SOC Tier 2,In Progress,33 min,Pending review
INC0375,EVT005767,Phishing Email,SOC Tier 1,Open,43 min,Pending review
INC0376,EVT009946,File Access,Incident Response Team,Closed,61 min,"Reviewed, no action required"
INC0377,EVT007817,Brute Force,SOC Tier 2,In Progress,61 min,Pending review
INC0378,EVT002281,USB Device Connected,Incident Response Team,In Progress,12 min,Pending review
INC0379,EVT008771,SQL Injection Attempt,SOC Tier 3,Closed,83 min,"Request blocked, WAF rule updated"
INC0380,EVT005773,Privilege Escalation,SOC Tier 3,Open,89 min,Pending review
INC0381,EVT007809,SQL Injection Attempt,SOC Tier 1,Closed,18 min,"Request blocked, WAF rule updated"
INC0382,EVT005509,Privilege Escalation,SOC Tier 3,Closed,53 min,"Access revoked, account access reviewed"
INC0383,EVT008802,Brute Force,SOC Tier 1,In Progress,50 min,Pending review
INC0384,EVT001384,File Access,SOC Tier 3,Closed,53 min,"Reviewed, no action required"
INC0385,EVT008385,Phishing Email,Incident Response Team,Closed,90 min,"Email quarantined, user notified"
INC0386,EVT004099,SQL Injection Attempt,SOC Tier 2,Open,83 min,Pending review
INC0387,EVT002447,File Access,SOC Tier 1,Closed,49 min,"Reviewed, no action required"
INC0388,EVT005383,Privilege Escalation,Incident Response Team,Closed,33 min,"Access revoked, account access reviewed"
INC0389,EVT004491,Login Success,Incident Response Team,Closed,9 min,"Reviewed, no action required"
INC0390,EVT007644,Phishing Email,SOC Tier 3,Closed,89 min,"Email quarantined, user notified"
INC0391,EVT007169,Brute Force,SOC Tier 1,Closed,79 min,Source IP blocked at firewall
INC0392,EVT009794,File Access,SOC Tier 3,Open,22 min,Pending review
INC0393,EVT009301,Brute Force,SOC Tier 3,Closed,61 min,Source IP blocked at firewall
INC0394,EVT009388,Brute Force,Incident Response Team,Closed,28 min,Source IP blocked at firewall
INC0395,EVT007346,Port Scan,Incident Response Team,In Progress,19 min,Pending review
INC0396,EVT006464,Phishing Email,Incident Response Team,Closed,23 min,"Email quarantined, user notified"
INC0397,EVT007453,Malware Detection,SOC Tier 1,Closed,39 min,"Endpoint isolated, malware removed"
INC0398,EVT007338,Phishing Email,SOC Tier 3,Closed,78 min,"Email quarantined, user notified"
INC0399,EVT006544,Phishing Email,SOC Tier 1,Closed,71 min,"Email quarantined, user notified"
INC0400,EVT001413,Malware Detection,SOC Tier 2,Open,55 min,Pending review
INC0401,EVT008312,SQL Injection Attempt,SOC Tier 3,Open,42 min,Pending review
INC0402,EVT009171,Failed Login,SOC Tier 2,Open,74 min,Pending review
INC0403,EVT000310,Phishing Email,SOC Tier 3,In Progress,38 min,Pending review
INC0404,EVT000872,Login Success,SOC Tier 3,Closed,16 min,"Reviewed, no action required"
INC0405,EVT008037,Privilege Escalation,SOC Tier 1,In Progress,20 min,Pending review
INC0406,EVT004131,Port Scan,SOC Tier 3,Closed,13 min,Source IP flagged and monitored
INC0407,EVT001220,Phishing Email,SOC Tier 2,Closed,78 min,"Email quarantined, user notified"
INC0408,EVT005412,Brute Force,SOC Tier 3,Closed,42 min,Source IP blocked at firewall
INC0409,EVT006347,File Access,Incident Response Team,Closed,56 min,"Reviewed, no action required"
INC0410,EVT009175,Port Scan,Incident Response Team,Closed,89 min,Source IP flagged and monitored
INC0411,EVT000941,Privilege Escalation,Incident Response Team,Closed,65 min,"Access revoked, account access reviewed"
INC0412,EVT001564,Port Scan,SOC Tier 2,Closed,21 min,Source IP flagged and monitored
INC0413,EVT008951,Brute Force,SOC Tier 1,Closed,54 min,Source IP blocked at firewall
INC0414,EVT005190,Malware Detection,SOC Tier 3,Closed,37 min,"Endpoint isolated, malware removed"
INC0415,EVT002608,Port Scan,SOC Tier 3,In Progress,72 min,Pending review
INC0416,EVT002286,USB Device Connected,Incident Response Team,In Progress,83 min,Pending review
INC0417,EVT007395,File Access,SOC Tier 3,Closed,70 min,"Reviewed, no action required"
INC0418,EVT006396,Port Scan,Incident Response Team,Open,45 min,Pending review
INC0419,EVT005317,USB Device Connected,Incident Response Team,Closed,16 min,"Device inspected, no threat found"
INC0420,EVT008116,Brute Force,SOC Tier 2,In Progress,62 min,Pending review
INC0421,EVT003709,Malware Detection,SOC Tier 3,In Progress,47 min,Pending review
INC0422,EVT008472,SQL Injection Attempt,SOC Tier 2,Closed,63 min,"Request blocked, WAF rule updated"
INC0423,EVT005291,Malware Detection,Incident Response Team,Closed,37 min,"Endpoint isolated, malware removed"
INC0424,EVT005120,Port Scan,SOC Tier 2,In Progress,86 min,Pending review
INC0425,EVT002862,Login Success,SOC Tier 1,Closed,37 min,"Reviewed, no action required"
INC0426,EVT007131,Brute Force,SOC Tier 2,Closed,61 min,Source IP blocked at firewall
INC0427,EVT006130,Brute Force,SOC Tier 3,Open,17 min,Pending review
INC0428,EVT006764,SQL Injection Attempt,SOC Tier 1,Closed,24 min,"Request blocked, WAF rule updated"
INC0429,EVT003021,SQL Injection Attempt,Incident Response Team,Closed,16 min,"Request blocked, WAF rule updated"
INC0430,EVT003501,USB Device Connected,SOC Tier 3,Closed,38 min,"Device inspected, no threat found"
INC0431,EVT000289,Failed Login,SOC Tier 1,In Progress,56 min,Pending review
INC0432,EVT008573,Failed Login,SOC Tier 2,Closed,75 min,"Account temporarily locked, user verified"
INC0433,EVT006776,Privilege Escalation,SOC Tier 2,In Progress,80 min,Pending review
INC0434,EVT005353,Brute Force,SOC Tier 3,In Progress,89 min,Pending review
INC0435,EVT009945,SQL Injection Attempt,Incident Response Team,Closed,14 min,"Request blocked, WAF rule updated"
INC0436,EVT000020,USB Device Connected,Incident Response Team,Closed,70 min,"Device inspected, no threat found"
INC0437,EVT002304,Privilege Escalation,SOC Tier 2,Closed,45 min,"Access revoked, account access reviewed"
INC0438,EVT005482,Brute Force,Incident Response Team,In Progress,83 min,Pending review
INC0439,EVT009843,USB Device Connected,SOC Tier 2,Closed,15 min,"Device inspected, no threat found"
INC0440,EVT004129,Port Scan,SOC Tier 2,Closed,64 min,Source IP flagged and monitored
INC0441,EVT001804,Login Success,SOC Tier 2,Closed,24 min,"Reviewed, no action required"
INC0442,EVT000968,Failed Login,SOC Tier 1,Closed,79 min,"Account temporarily locked, user verified"
INC0443,EVT009688,Privilege Escalation,Incident Response Team,In Progress,84 min,Pending review
INC0444,EVT002523,Brute Force,SOC Tier 2,In Progress,48 min,Pending review
INC0445,EVT002230,Brute Force,Incident Response Team,Closed,64 min,Source IP blocked at firewall
INC0446,EVT004875,Privilege Escalation,Incident Response Team,In Progress,48 min,Pending review
INC0447,EVT002716,USB Device Connected,Incident Response Team,Open,31 min,Pending review
INC0448,EVT006986,SQL Injection Attempt,SOC Tier 2,Open,76 min,Pending review
INC0449,EVT007851,Port Scan,Incident Response Team,Closed,9 min,Source IP flagged and monitored
INC0450,EVT005480,Malware Detection,SOC Tier 2,In Progress,42 min,Pending review
INC0451,EVT002909,SQL Injection Attempt,SOC Tier 2,Open,59 min,Pending review
INC0452,EVT000037,Malware Detection,Incident Response Team,Open,82 min,Pending review
INC0453,EVT008209,Port Scan,Incident Response Team,Closed,39 min,Source IP flagged and monitored
INC0454,EVT004534,Brute Force,SOC Tier 2,In Progress,41 min,Pending review
INC0455,EVT007689,File Access,SOC Tier 3,Closed,22 min,"Reviewed, no action required"
INC0456,EVT003013,Failed Login,SOC Tier 3,Closed,40 min,"Account temporarily locked, user verified"
INC0457,EVT004778,Failed Login,Incident Response Team,Open,89 min,Pending review
INC0458,EVT001437,Privilege Escalation,SOC Tier 2,Closed,52 min,"Access revoked, account access reviewed"
INC0459,EVT003908,Login Success,SOC Tier 2,Closed,48 min,"Reviewed, no action required"
INC0460,EVT008429,Phishing Email,Incident Response Team,In Progress,9 min,Pending review
INC0461,EVT008502,Brute Force,SOC Tier 2,Closed,29 min,Source IP blocked at firewall
INC0462,EVT006684,File Access,SOC Tier 1,Closed,33 min,"Reviewed, no action required"
INC0463,EVT005760,USB Device Connected,SOC Tier 3,Closed,19 min,"Device inspected, no threat found"
INC0464,EVT001531,SQL Injection Attempt,SOC Tier 3,In Progress,74 min,Pending review
INC0465,EVT006798,File Access,SOC Tier 1,In Progress,48 min,Pending review
INC0466,EVT002620,Failed Login,SOC Tier 2,Closed,50 min,"Account temporarily locked, user verified"
INC0467,EVT008081,USB Device Connected,SOC Tier 2,Closed,60 min,"Device inspected, no threat found"
INC0468,EVT008218,USB Device Connected,Incident Response Team,Open,90 min,Pending review
INC0469,EVT000103,Port Scan,Incident Response Team,In Progress,82 min,Pending review
INC0470,EVT005105,Brute Force,SOC Tier 3,Closed,88 min,Source IP blocked at firewall
INC0471,EVT004891,Failed Login,SOC Tier 2,In Progress,65 min,Pending review
INC0472,EVT006794,Port Scan,SOC Tier 3,Closed,85 min,Source IP flagged and monitored
INC0473,EVT000254,Port Scan,SOC Tier 3,Closed,25 min,Source IP flagged and monitored
INC0474,EVT006180,Phishing Email,SOC Tier 1,Closed,84 min,"Email quarantined, user notified"
INC0475,EVT006899,Malware Detection,SOC Tier 1,Closed,10 min,"Endpoint isolated, malware removed"
INC0476,EVT007255,USB Device Connected,SOC Tier 1,In Progress,8 min,Pending review
INC0477,EVT000642,Brute Force,SOC Tier 2,Closed,37 min,Source IP blocked at firewall
INC0478,EVT009987,Failed Login,SOC Tier 1,Closed,30 min,"Account temporarily locked, user verified"
INC0479,EVT001766,Phishing Email,SOC Tier 1,Closed,87 min,"Email quarantined, user notified"
INC0480,EVT001485,SQL Injection Attempt,SOC Tier 3,Open,43 min,Pending review
INC0481,EVT003394,Privilege Escalation,SOC Tier 2,Open,82 min,Pending review
INC0482,EVT001386,Phishing Email,SOC Tier 2,In Progress,79 min,Pending review
INC0483,EVT002170,Login Success,SOC Tier 2,Closed,36 min,"Reviewed, no action required"
INC0484,EVT003910,SQL Injection Attempt,Incident Response Team,Closed,39 min,"Request blocked, WAF rule updated"
INC0485,EVT000060,Privilege Escalation,SOC Tier 3,Closed,36 min,"Access revoked, account access reviewed"
INC0486,EVT007633,Port Scan,SOC Tier 3,Open,34 min,Pending review
INC0487,EVT009115,Malware Detection,SOC Tier 2,Closed,22 min,"Endpoint isolated, malware removed"
INC0488,EVT005213,Login Success,SOC Tier 3,Closed,37 min,"Reviewed, no action required"
INC0489,EVT001285,Phishing Email,Incident Response Team,Closed,28 min,"Email quarantined, user notified"
INC0490,EVT009256,Port Scan,SOC Tier 2,Closed,55 min,Source IP flagged and monitored
INC0491,EVT004179,SQL Injection Attempt,Incident Response Team,Open,34 min,Pending review
INC0492,EVT006856,File Access,SOC Tier 1,In Progress,51 min,Pending review
INC0493,EVT001949,Brute Force,SOC Tier 2,Closed,19 min,Source IP blocked at firewall
INC0494,EVT009911,Login Success,SOC Tier 2,In Progress,9 min,Pending review
INC0495,EVT000418,Privilege Escalation,SOC Tier 2,Closed,8 min,"Access revoked, account access reviewed"
INC0496,EVT004790,File Access,Incident Response Team,Closed,19 min,"Reviewed, no action required"
INC0497,EVT009626,Failed Login,SOC Tier 3,Closed,80 min,"Account temporarily locked, user verified"
INC0498,EVT009083,Brute Force,SOC Tier 2,Closed,69 min,Source IP blocked at firewall
INC0499,EVT004095,File Access,SOC Tier 2,Closed,87 min,"Reviewed, no action required"
INC0500,EVT009859,Login Success,Incident Response Team,Closed,23 min,"Reviewed, no action required"
INC0501,EVT008245,Brute Force,Incident Response Team,In Progress,29 min,Pending review
INC0502,EVT000823,Login Success,SOC Tier 2,Open,40 min,Pending review
INC0503,EVT005049,Login Success,SOC Tier 3,Open,84 min,Pending review
INC0504,EVT007470,Privilege Escalation,SOC Tier 3,In Progress,44 min,Pending review
INC0505,EVT007081,USB Device Connected,SOC Tier 2,Open,87 min,Pending review
INC0506,EVT009276,USB Device Connected,SOC Tier 2,Closed,70 min,"Device inspected, no threat found"
INC0507,EVT007934,Login Success,SOC Tier 3,Closed,14 min,"Reviewed, no action required"
INC0508,EVT006208,Port Scan,SOC Tier 3,Closed,37 min,Source IP flagged and monitored
INC0509,EVT004775,Failed Login,SOC Tier 3,In Progress,76 min,Pending review
INC0510,EVT006253,Failed Login,SOC Tier 2,Closed,69 min,"Account temporarily locked, user verified"
INC0511,EVT009081,Login Success,SOC Tier 1,Closed,73 min,"Reviewed, no action required"
INC0512,EVT004920,SQL Injection Attempt,SOC Tier 3,Closed,43 min,"Request blocked, WAF rule updated"
INC0513,EVT008955,Login Success,SOC Tier 1,Closed,84 min,"Reviewed, no action required"
INC0514,EVT000195,Phishing Email,SOC Tier 3,Closed,9 min,"Email quarantined, user notified"
INC0515,EVT000395,Malware Detection,Incident Response Team,In Progress,65 min,Pending review
INC0516,EVT000181,Privilege Escalation,SOC Tier 1,Closed,43 min,"Access revoked, account access reviewed"
INC0517,EVT005561,Failed Login,SOC Tier 1,Closed,67 min,"Account temporarily locked, user verified"
INC0518,EVT007777,Failed Login,SOC Tier 2,Closed,13 min,"Account temporarily locked, user verified"
INC0519,EVT001504,Failed Login,SOC Tier 2,In Progress,53 min,Pending review
INC0520,EVT000908,Brute Force,Incident Response Team,Open,54 min,Pending review
INC0521,EVT008831,Failed Login,SOC Tier 3,Closed,52 min,"Account temporarily locked, user verified"
INC0522,EVT004693,Phishing Email,Incident Response Team,In Progress,67 min,Pending review
INC0523,EVT002754,Failed Login,SOC Tier 1,Closed,77 min,"Account temporarily locked, user verified"
INC0524,EVT000594,Failed Login,SOC Tier 3,Closed,63 min,"Account temporarily locked, user verified"
INC0525,EVT003918,Login Success,Incident Response Team,Closed,90 min,"Reviewed, no action required"
INC0526,EVT006663,USB Device Connected,SOC Tier 3,In Progress,75 min,Pending review
INC0527,EVT003808,File Access,SOC Tier 2,In Progress,35 min,Pending review
INC0528,EVT009352,Port Scan,SOC Tier 3,In Progress,15 min,Pending review
INC0529,EVT000570,Brute Force,SOC Tier 3,Closed,61 min,Source IP blocked at firewall
INC0530,EVT009493,Phishing Email,SOC Tier 3,In Progress,85 min,Pending review
INC0531,EVT005644,Phishing Email,SOC Tier 2,Open,74 min,Pending review
INC0532,EVT003306,File Access,SOC Tier 2,Closed,41 min,"Reviewed, no action required"
INC0533,EVT008870,Port Scan,Incident Response Team,Closed,79 min,Source IP flagged and monitored
INC0534,EVT003188,Malware Detection,SOC Tier 1,Open,20 min,Pending review
INC0535,EVT005417,Privilege Escalation,SOC Tier 1,In Progress,88 min,Pending review
INC0536,EVT003195,Port Scan,SOC Tier 1,Closed,28 min,Source IP flagged and monitored
INC0537,EVT005732,Failed Login,SOC Tier 1,Closed,53 min,"Account temporarily locked, user verified"
INC0538,EVT007704,Privilege Escalation,SOC Tier 3,Closed,90 min,"Access revoked, account access reviewed"
INC0539,EVT006566,SQL Injection Attempt,SOC Tier 2,Closed,60 min,"Request blocked, WAF rule updated"
INC0540,EVT008818,Privilege Escalation,SOC Tier 2,Closed,51 min,"Access revoked, account access reviewed"
INC0541,EVT004404,Port Scan,SOC Tier 2,Closed,80 min,Source IP flagged and monitored
INC0542,EVT002524,Login Success,SOC Tier 3,Closed,90 min,"Reviewed, no action required"
INC0543,EVT005826,Failed Login,SOC Tier 3,In Progress,38 min,Pending review
INC0544,EVT000838,Login Success,SOC Tier 3,Closed,86 min,"Reviewed, no action required"
INC0545,EVT007314,File Access,SOC Tier 1,Closed,58 min,"Reviewed, no action required"
INC0546,EVT008006,Privilege Escalation,Incident Response Team,Closed,90 min,"Access revoked, account access reviewed"
INC0547,EVT007299,SQL Injection Attempt,Incident Response Team,Closed,10 min,"Request blocked, WAF rule updated"
INC0548,EVT009819,SQL Injection Attempt,Incident Response Team,Closed,58 min,"Request blocked, WAF rule updated"
INC0549,EVT001486,Malware Detection,SOC Tier 3,Closed,21 min,"Endpoint isolated, malware removed"
INC0550,EVT000024,Failed Login,Incident Response Team,Closed,73 min,"Account temporarily locked, user verified"
INC0551,EVT009236,File Access,SOC Tier 2,Closed,26 min,"Reviewed, no action required"
INC0552,EVT007712,SQL Injection Attempt,SOC Tier 1,Closed,45 min,"Request blocked, WAF rule updated"
INC0553,EVT001739,File Access,Incident Response Team,Closed,12 min,"Reviewed, no action required"
INC0554,EVT007462,SQL Injection Attempt,SOC Tier 3,Closed,16 min,"Request blocked, WAF rule updated"
INC0555,EVT003381,File Access,SOC Tier 1,In Progress,90 min,Pending review
INC0556,EVT004691,Privilege Escalation,SOC Tier 1,In Progress,49 min,Pending review
INC0557,EVT003309,Failed Login,SOC Tier 3,Closed,71 min,"Account temporarily locked, user verified"
INC0558,EVT002653,SQL Injection Attempt,SOC Tier 3,In Progress,71 min,Pending review
INC0559,EVT006497,Port Scan,SOC Tier 3,Closed,60 min,Source IP flagged and monitored
INC0560,EVT003725,Privilege Escalation,SOC Tier 1,Closed,71 min,"Access revoked, account access reviewed"
INC0561,EVT003863,Login Success,Incident Response Team,Closed,27 min,"Reviewed, no action required"
INC0562,EVT000443,Malware Detection,SOC Tier 3,Closed,77 min,"Endpoint isolated, malware removed"
INC0563,EVT000001,Privilege Escalation,SOC Tier 1,In Progress,70 min,Pending review
INC0564,EVT005776,Malware Detection,SOC Tier 1,Closed,56 min,"Endpoint isolated, malware removed"
INC0565,EVT005904,Login Success,SOC Tier 3,Closed,51 min,"Reviewed, no action required"
INC0566,EVT001769,Phishing Email,SOC Tier 3,Closed,51 min,"Email quarantined, user notified"
INC0567,EVT008987,Malware Detection,SOC Tier 1,Closed,71 min,"Endpoint isolated, malware removed"
INC0568,EVT000449,Phishing Email,SOC Tier 1,Closed,28 min,"Email quarantined, user notified"
INC0569,EVT000517,Phishing Email,Incident Response Team,Closed,41 min,"Email quarantined, user notified"
INC0570,EVT009505,Brute Force,Incident Response Team,In Progress,46 min,Pending review
INC0571,EVT005805,Malware Detection,Incident Response Team,Closed,57 min,"Endpoint isolated, malware removed"
INC0572,EVT007173,File Access,SOC Tier 2,Open,11 min,Pending review
INC0573,EVT002684,Phishing Email,SOC Tier 3,Closed,40 min,"Email quarantined, user notified"
INC0574,EVT006703,Brute Force,Incident Response Team,Closed,85 min,Source IP blocked at firewall
INC0575,EVT009444,Brute Force,SOC Tier 3,Closed,61 min,Source IP blocked at firewall
INC0576,EVT002090,Phishing Email,SOC Tier 3,Closed,56 min,"Email quarantined, user notified"
INC0577,EVT008458,Phishing Email,SOC Tier 1,Closed,43 min,"Email quarantined, user notified"
INC0578,EVT003358,File Access,SOC Tier 3,In Progress,36 min,Pending review
INC0579,EVT009689,SQL Injection Attempt,SOC Tier 3,Closed,28 min,"Request blocked, WAF rule updated"
INC0580,EVT006488,USB Device Connected,Incident Response Team,Open,37 min,Pending review
INC0581,EVT002975,Brute Force,SOC Tier 2,Open,65 min,Pending review
INC0582,EVT006593,Port Scan,SOC Tier 1,Closed,30 min,Source IP flagged and monitored
INC0583,EVT002417,Privilege Escalation,Incident Response Team,Closed,11 min,"Access revoked, account access reviewed"
INC0584,EVT005371,File Access,SOC Tier 2,Closed,74 min,"Reviewed, no action required"
INC0585,EVT008158,Login Success,SOC Tier 1,Closed,59 min,"Reviewed, no action required"
INC0586,EVT002272,Failed Login,SOC Tier 3,Closed,42 min,"Account temporarily locked, user verified"
INC0587,EVT007268,Brute Force,Incident Response Team,Closed,86 min,Source IP blocked at firewall
INC0588,EVT003688,SQL Injection Attempt,SOC Tier 2,Closed,42 min,"Request blocked, WAF rule updated"
INC0589,EVT002630,Phishing Email,SOC Tier 2,Closed,15 min,"Email quarantined, user notified"
INC0590,EVT009673,Login Success,SOC Tier 1,Closed,12 min,"Reviewed, no action required"
INC0591,EVT001489,File Access,Incident Response Team,Closed,23 min,"Reviewed, no action required"
INC0592,EVT005308,USB Device Connected,SOC Tier 1,Closed,85 min,"Device inspected, no threat found"
INC0593,EVT000407,USB Device Connected,SOC Tier 1,In Progress,62 min,Pending review
INC0594,EVT006230,Brute Force,Incident Response Team,Closed,61 min,Source IP blocked at firewall
INC0595,EVT003200,Malware Detection,Incident Response Team,In Progress,27 min,Pending review
INC0596,EVT009064,Login Success,Incident Response Team,Closed,78 min,"Reviewed, no action required"
INC0597,EVT004426,SQL Injection Attempt,SOC Tier 2,Closed,77 min,"Request blocked, WAF rule updated"
INC0598,EVT009125,SQL Injection Attempt,SOC Tier 3,Open,82 min,Pending review
INC0599,EVT002930,Login Success,Incident Response Team,Closed,52 min,"Reviewed, no action required"
INC0600,EVT007540,Login Success,SOC Tier 3,In Progress,12 min,Pending review
INC0601,EVT007042,Failed Login,SOC Tier 2,Closed,41 min,"Account temporarily locked, user verified"
INC0602,EVT001770,File Access,SOC Tier 2,Closed,45 min,"Reviewed, no action required"
INC0603,EVT004466,Malware Detection,SOC Tier 2,In Progress,32 min,Pending review
INC0604,EVT002994,Failed Login,Incident Response Team,Closed,18 min,"Account temporarily locked, user verified"
INC0605,EVT001487,Login Success,SOC Tier 2,Closed,49 min,"Reviewed, no action required"
INC0606,EVT001659,Brute Force,Incident Response Team,In Progress,48 min,Pending review
INC0607,EVT001291,USB Device Connected,Incident Response Team,Open,23 min,Pending review
INC0608,EVT003049,Brute Force,Incident Response Team,Closed,86 min,Source IP blocked at firewall
INC0609,EVT009999,Login Success,Incident Response Team,Closed,19 min,"Reviewed, no action required"
INC0610,EVT000678,Malware Detection,SOC Tier 1,Closed,31 min,"Endpoint isolated, malware removed"
INC0611,EVT009087,Malware Detection,SOC Tier 3,In Progress,53 min,Pending review
INC0612,EVT000788,File Access,SOC Tier 3,Closed,53 min,"Reviewed, no action required"
INC0613,EVT000865,Privilege Escalation,SOC Tier 1,Closed,67 min,"Access revoked, account access reviewed"
INC0614,EVT004148,USB Device Connected,SOC Tier 3,Closed,35 min,"Device inspected, no threat found"
INC0615,EVT008812,Port Scan,Incident Response Team,Closed,60 min,Source IP flagged and monitored
INC0616,EVT009227,Login Success,SOC Tier 2,Closed,33 min,"Reviewed, no action required"
INC0617,EVT003749,Phishing Email,SOC Tier 1,In Progress,79 min,Pending review
INC0618,EVT007378,File Access,SOC Tier 3,Closed,14 min,"Reviewed, no action required"
INC0619,EVT003890,Failed Login,SOC Tier 2,Closed,14 min,"Account temporarily locked, user verified"
INC0620,EVT001678,Malware Detection,SOC Tier 1,Closed,14 min,"Endpoint isolated, malware removed"
INC0621,EVT004772,Login Success,Incident Response Team,In Progress,50 min,Pending review
